Filename                                 MP2/aVTZ
068_Cl-Water_Deg45_-60                   2.288195
068_Cl-Water_Deg45_-45                  -0.308591
068_Cl-Water_Deg45_-30                  -2.710119
068_Cl-Water_Deg45_-15                  -4.562461
068_Cl-Water_Deg45_+00                  -5.647402
068_Cl-Water_Deg45_+15                  -6.025230
068_Cl-Water_Deg45_+30                  -5.999005
068_Cl-Water_Deg45_+45                  -5.902337
068_Cl-Water_Deg45_+60                  -5.868601
069_Br-Water_Deg45_-60                   2.144758
069_Br-Water_Deg45_-45                  -0.178446
069_Br-Water_Deg45_-30                  -2.318614
069_Br-Water_Deg45_-15                  -3.983947
069_Br-Water_Deg45_+00                  -5.001902
069_Br-Water_Deg45_+15                  -5.419329
069_Br-Water_Deg45_+30                  -5.469995
069_Br-Water_Deg45_+45                  -5.414391
069_Br-Water_Deg45_+60                  -5.360060
070_Li-Water_Deg60_-60                 -19.773171
070_Li-Water_Deg60_-45                 -23.294929
070_Li-Water_Deg60_-30                 -25.916422
070_Li-Water_Deg60_-15                 -27.529828
070_Li-Water_Deg60_+00                 -28.074391
070_Li-Water_Deg60_+15                 -27.529828
070_Li-Water_Deg60_+30                 -25.916422
070_Li-Water_Deg60_+45                 -23.294929
070_Li-Water_Deg60_+60                 -19.773171
071_Na-Water_Deg60_-60                 -10.472229
071_Na-Water_Deg60_-45                 -13.299880
071_Na-Water_Deg60_-30                 -15.394243
071_Na-Water_Deg60_-15                 -16.677738
071_Na-Water_Deg60_+00                 -17.109924
071_Na-Water_Deg60_+15                 -16.677738
071_Na-Water_Deg60_+30                 -15.394243
071_Na-Water_Deg60_+45                 -13.299880
071_Na-Water_Deg60_+60                 -10.472229
072_K-Water_Deg60_-60                   -5.740086
072_K-Water_Deg60_-45                   -8.074085
072_K-Water_Deg60_-30                   -9.781028
072_K-Water_Deg60_-15                  -10.815457
072_K-Water_Deg60_+00                  -11.161559
072_K-Water_Deg60_+15                  -10.815457
072_K-Water_Deg60_+30                   -9.781028
072_K-Water_Deg60_+45                   -8.074085
072_K-Water_Deg60_+60                   -5.740086
073_F-Water_Deg60_-60                    9.343856
073_F-Water_Deg60_-45                    6.940578
073_F-Water_Deg60_-30                    4.622203
073_F-Water_Deg60_-15                    2.703025
073_F-Water_Deg60_+00                    1.424678
073_F-Water_Deg60_+15                    0.822009
073_F-Water_Deg60_+30                    0.702294
073_F-Water_Deg60_+45                    0.786168
073_F-Water_Deg60_+60                    0.899093
074_Cl-Water_Deg60_-60                   3.836155
074_Cl-Water_Deg60_-45                   2.227188
074_Cl-Water_Deg60_-30                   0.736212
074_Cl-Water_Deg60_-15                  -0.484683
074_Cl-Water_Deg60_+00                  -1.344853
074_Cl-Water_Deg60_+15                  -1.846898
074_Cl-Water_Deg60_+30                  -2.069542
074_Cl-Water_Deg60_+45                  -2.105136
074_Cl-Water_Deg60_+60                  -1.993165
075_Br-Water_Deg60_-60                   3.472216
075_Br-Water_Deg60_-45                   2.011939
075_Br-Water_Deg60_-30                   0.656997
075_Br-Water_Deg60_-15                  -0.460751
075_Br-Water_Deg60_+00                  -1.262668
075_Br-Water_Deg60_+15                  -1.747137
075_Br-Water_Deg60_+30                  -1.974845
075_Br-Water_Deg60_+45                  -2.018869
075_Br-Water_Deg60_+60                  -1.911305
076_LiF-Li_1.00                        -35.813458
076_LiF-Li_1.10                        -38.916547
076_LiF-Li_1.20                        -37.729203
076_LiF-Li_1.30                        -34.715156
076_LiF-Li_1.40                        -31.075352
076_LiF-Li_1.50                        -27.387310
076_LiF-Li_2.00                        -13.545951
077_LiF-F_1.00                         -22.961553
077_LiF-F_1.10                         -28.008008
077_LiF-F_1.20                         -28.391468
077_LiF-F_1.30                         -26.666676
077_LiF-F_1.40                         -24.109083
077_LiF-F_1.50                         -21.349325
077_LiF-F_2.00                         -10.619097
078_LiCl-Li_1.00                       -36.192099
078_LiCl-Li_1.10                       -38.056286
078_LiCl-Li_1.20                       -35.920118
078_LiCl-Li_1.30                       -32.230821
078_LiCl-Li_1.40                       -28.155423
078_LiCl-Li_1.50                       -24.233441
078_LiCl-Li_2.00                       -10.947571
079_LiCl-Cl_1.00                       -17.837471
079_LiCl-Cl_1.10                       -23.072877
079_LiCl-Cl_1.20                       -23.608777
