Filename                                   AMOEBA
119_Na-Water_Cls_086                   -69.442541
119_Na-Water_Cls_087                   -76.591221
119_Na-Water_Cls_088                   -74.594591
119_Na-Water_Cls_089                   -65.793779
119_Na-Water_Cls_090                   -76.022928
119_Na-Water_Cls_091                   -74.020829
119_Na-Water_Cls_092                   -75.366905
119_Na-Water_Cls_093                   -60.868878
119_Na-Water_Cls_094                   -78.810226
119_Na-Water_Cls_095                   -76.903849
119_Na-Water_Cls_096                   -61.678978
119_Na-Water_Cls_097                   -77.570418
119_Na-Water_Cls_098                   -68.698615
119_Na-Water_Cls_099                   -62.571283
120_K-Water_Cls_000                    -66.210821
120_K-Water_Cls_001                    -62.184089
120_K-Water_Cls_002                    -67.964362
120_K-Water_Cls_003                    -59.781252
120_K-Water_Cls_004                    -60.686105
120_K-Water_Cls_005                    -55.052855
120_K-Water_Cls_006                    -59.588943
120_K-Water_Cls_007                    -48.260621
120_K-Water_Cls_008                    -62.744079
120_K-Water_Cls_009                    -49.677527
120_K-Water_Cls_010                    -52.975791
120_K-Water_Cls_011                    -57.741059
120_K-Water_Cls_012                    -51.487667
120_K-Water_Cls_013                    -30.205790
120_K-Water_Cls_014                    -59.985687
120_K-Water_Cls_015                    -64.084026
120_K-Water_Cls_016                    -36.535582
120_K-Water_Cls_017                    -62.674614
120_K-Water_Cls_018                    -52.328551
120_K-Water_Cls_019                    -52.609465
120_K-Water_Cls_020                    -62.297930
120_K-Water_Cls_021                    -62.817573
120_K-Water_Cls_022                    -56.462898
120_K-Water_Cls_023                    -62.131940
120_K-Water_Cls_024                    -65.849205
120_K-Water_Cls_025                    -56.912522
120_K-Water_Cls_026                    -55.739792
120_K-Water_Cls_027                    -62.402661
120_K-Water_Cls_028                    -47.056079
120_K-Water_Cls_029                    -57.602812
120_K-Water_Cls_030                    -57.575870
120_K-Water_Cls_031                    -67.070068
120_K-Water_Cls_032                    -63.128914
120_K-Water_Cls_033                    -63.684392
120_K-Water_Cls_034                    -49.296579
120_K-Water_Cls_035                    -40.690724
120_K-Water_Cls_036                    -51.575011
120_K-Water_Cls_037                    -65.073218
120_K-Water_Cls_038                    -43.055018
120_K-Water_Cls_039                    -60.559032
120_K-Water_Cls_040                    -63.440278
120_K-Water_Cls_041                    -64.646565
120_K-Water_Cls_042                    -54.317801
120_K-Water_Cls_043                    -52.729430
120_K-Water_Cls_044                    -48.265714
120_K-Water_Cls_045                    -47.690769
120_K-Water_Cls_046                    -48.295438
120_K-Water_Cls_047                    -60.242737
120_K-Water_Cls_048                    -61.296654
120_K-Water_Cls_049                    -61.854645
120_K-Water_Cls_050                    -41.414986
