Filename                                 MP2/aVTZ
121_F-Water_Cls_054                    -83.524290
121_F-Water_Cls_055                    -81.432398
121_F-Water_Cls_056                    -72.230037
121_F-Water_Cls_057                    -76.964753
121_F-Water_Cls_058                    -81.052061
121_F-Water_Cls_059                    -86.583808
121_F-Water_Cls_060                    -77.693114
121_F-Water_Cls_061                    -76.354673
121_F-Water_Cls_062                    -85.777742
121_F-Water_Cls_063                    -81.627419
121_F-Water_Cls_064                    -75.736377
121_F-Water_Cls_065                    -88.117332
121_F-Water_Cls_066                    -80.645705
121_F-Water_Cls_067                    -83.331169
121_F-Water_Cls_068                    -91.827969
121_F-Water_Cls_069                    -71.350439
121_F-Water_Cls_070                    -70.517471
121_F-Water_Cls_071                    -81.951493
121_F-Water_Cls_072                    -88.669332
121_F-Water_Cls_073                    -77.825860
121_F-Water_Cls_074                    -82.601675
121_F-Water_Cls_075                    -79.790225
121_F-Water_Cls_076                    -75.844863
121_F-Water_Cls_077                    -53.991420
121_F-Water_Cls_078                    -75.325659
121_F-Water_Cls_079                    -73.776419
121_F-Water_Cls_080                    -82.754498
121_F-Water_Cls_081                    -77.786386
121_F-Water_Cls_082                    -65.939445
121_F-Water_Cls_083                    -79.170499
121_F-Water_Cls_084                    -79.731601
121_F-Water_Cls_085                    -78.322683
121_F-Water_Cls_086                    -76.865955
121_F-Water_Cls_087                    -83.977245
121_F-Water_Cls_088                    -81.425467
121_F-Water_Cls_089                    -76.495253
121_F-Water_Cls_090                    -85.124271
121_F-Water_Cls_091                    -81.810032
121_F-Water_Cls_092                    -83.485212
121_F-Water_Cls_093                    -72.119808
121_F-Water_Cls_094                    -86.851872
121_F-Water_Cls_095                    -68.661165
121_F-Water_Cls_096                    -68.682149
121_F-Water_Cls_097                    -77.164577
121_F-Water_Cls_098                    -88.282029
121_F-Water_Cls_099                    -76.129491
122_Cl-Water_Cls_000                   -35.389455
122_Cl-Water_Cls_001                   -44.460223
122_Cl-Water_Cls_002                   -48.413152
122_Cl-Water_Cls_003                   -43.964494
122_Cl-Water_Cls_004                   -39.877163
122_Cl-Water_Cls_005                   -51.128823
122_Cl-Water_Cls_006                   -53.016616
122_Cl-Water_Cls_007                   -50.953258
122_Cl-Water_Cls_008                   -51.911860
122_Cl-Water_Cls_009                   -48.703437
122_Cl-Water_Cls_010                   -46.968261
122_Cl-Water_Cls_011                   -42.577733
122_Cl-Water_Cls_012                   -41.426284
122_Cl-Water_Cls_013                   -58.242087
122_Cl-Water_Cls_014                   -52.431159
122_Cl-Water_Cls_015                   -44.883111
122_Cl-Water_Cls_016                   -51.602725
122_Cl-Water_Cls_017                   -44.647892
122_Cl-Water_Cls_018                   -48.780756
122_Cl-Water_Cls_019                   -47.187824
122_Cl-Water_Cls_020                   -46.463336
122_Cl-Water_Cls_021                   -43.485696
122_Cl-Water_Cls_022                   -56.806098
122_Cl-Water_Cls_023                   -50.039414
122_Cl-Water_Cls_024                   -48.478775
122_Cl-Water_Cls_025                   -51.441120
122_Cl-Water_Cls_026                   -41.534625
122_Cl-Water_Cls_027                   -43.121796
122_Cl-Water_Cls_028                   -39.562429
122_Cl-Water_Cls_029                   -50.149870
122_Cl-Water_Cls_030                   -41.980599
122_Cl-Water_Cls_031                   -47.242287
122_Cl-Water_Cls_032                   -47.735632
122_Cl-Water_Cls_033                   -43.447377
122_Cl-Water_Cls_034                   -45.511910
122_Cl-Water_Cls_035                   -43.651064
122_Cl-Water_Cls_036                   -51.875943
122_Cl-Water_Cls_037                   -45.431830
122_Cl-Water_Cls_038                   -42.253910
122_Cl-Water_Cls_039                   -41.653663
122_Cl-Water_Cls_040                   -36.152054
122_Cl-Water_Cls_041                   -28.768927
